Country,Index score (Lower is better)
Iceland,1.111
New Zealand,1.241
Portugal,1.258
Austria,1.265
Denmark,1.337
Czech Republic,1.36
Slovenia,1.364
Canada,1.371
Switzerland,1.373
Ireland,1.408
Japan,1.408
Australia,1.425
Bhutan,1.474
Norway,1.486
Hungary,1.494
Germany,1.5
Finland,1.515
Sweden,1.516
Belgium,1.525
Netherlands,1.525
Singapore,1.534
Mauritius,1.547
Spain,1.568
Chile,1.595
Romania,1.6
Slovakia,1.611
Botswana,1.622
Bulgaria,1.631
Malaysia,1.637
Qatar,1.664
Croatia,1.665
Latvia,1.67
Poland,1.676
Costa Rica,1.701
Uruguay,1.709
Estonia,1.72
Lithuania,1.732
Italy,1.737
Sierra Leone,1.76
Taiwan,1.782
Guyana,2.021
Liberia,2.023
Haiti,2.026
Bangladesh,2.035
Bosnia-Herzegovina,2.035
Bolivia,2.045
Gabon,2.052
Cuba,2.056
Cambodia,2.065
Lesotho,2.066
Burkina Faso,2.07
Jamaica,2.072
Nepal,2.08
Georgia,2.084
Jordan,2.087
Guinea,2.089
Papua New Guinea,2.095
Trinidad & Tobago,2.095
Dominican Republic,2.114
Angola,2.116
Uzbekistan,2.132
Macedonia (FYR),2.133
Belarus,2.141
Myanmar,2.179
Uganda,2.182
Honduras,2.185
Djibouti,2.196
Brazil,2.199
Algeria,2.201
The Gambia,2.211
Kyrgyz_Republic,2.216
Armenia,2.22
Rwanda,2.227
United States,2.232
El Salvador,2.239
China,2.242
Guatemala,2.245
Tajikistan,2.263
Turkmenistan,2.27
Thailand,2.286
United Kingdom,1.786
Zambia,1.786
Ghana,1.793
Madagascar,1.797
Laos,1.8
Mongolia,1.801
South Korea,1.823
Malawi,1.825
Panama,1.835
Namibia,1.838
France,1.839
Indonesia,1.85
Timor-Leste,1.866
Tanzania,1.876
Argentina,1.88
Serbia,1.888
Albania,1.908
Kuwait,1.909
Vietnam,1.919
Senegal,1.929
Eq. Guinea,1.93
Moldova,1.938
Togo,1.939
Cyprus,1.94
UAE,1.944
Ecuador,1.948
Montenegro,1.95
Paraguay,1.961
Tunisia,1.977
Oman,1.983
Peru,1.986
Kazakhstan,1.992
Greece,1.998
Nicaragua,2.002
Morocco,2.004
Kosovo,2.007
Swaziland,2.01
Mozambique,2.013
Benin,2.014
Sri Lanka,2.019
Cote d' Ivoire,2.307
Guinea-Bissau,2.309
South Africa,2.324
Rep of Congo,2.334
Kenya,2.336
Niger,2.343
Zimbabwe,2.352
Mauritania,2.355
Iran,2.364
Cameroon,2.39
Bahrain,2.404
Azerbaijan,2.426
Saudi Arabia,2.474
Ethiopia,2.477
Chad,2.495
Eritrea,2.505
India,2.541
Philippines,2.555
Egypt,2.583
Mali,2.596
Burundi,2.641
Mexico,2.646
Venezuela,2.652
Israel,2.707
Palestine,2.774
Colombia,2.777
Turkey,2.777
Lebanon,2.782
Nigeria,2.849
North Korea,2.967
Russia,3.047
Pakistan,3.058
Dem. Rep. Congo,3.061
Ukraine,3.184
Central African Rep.,3.213
Sudan,3.213
Libya,3.328
Somalia,3.387
Yemen,3.412
South Sudan,3.524
Iraq,3.556
Afghanistan,3.567
Syria,3.814
