Continent,ISO_code,Cname,MCV1_percent_coverage,overall_vaccine_confidence_percent,climate_risk_index,HDI_index_value,percent_refugee_origin_population,measles_incidence_rate_per_100_000,peace_index_score
Australia,AUS,Australia,0.050000000000000044,0.24,0.8006542056074767,0.06000000000000005,0,4.4918841550689766e-4,0.11616722160562339
Asia,AZE,Azerbaijan,0.020000000000000018,0.49,0.19317757009345793,0.24,0.0011,2.8278205334574674e-5,0.4864964853866075
South America,BRA,Brazil,0.08999999999999997,0.2899999999999999,0.3862616822429906,0.24,0,0,0.40251572327044016
Europe,BLR,Belarus,0.030000000000000027,0.79,0,0.18999999999999995,4e-4,1.7401972513584415e-5,0.3810580836108028
Asia,BTN,Bhutan,0.030000000000000027,0.6908203484508503,0,0.39,0.0106,0.19978334544220588,0.13429522752497222
Asia,CHN,China,0.010000000000000009,0.35,0.6885046728971963,0.25,1e-4,0.2503262869846297,0.41842397336293
Africa,CIV,Côte d'Ivoire,0.30000000000000004,0.3999999999999999,0.3582242990654205,0.3330007866484035,0.0016,0.10722225364245037,0.442471328153903
Africa,COG,Congo,0.30000000000000004,0.41999999999999993,0,0.39,0.0026,0.5166243218668836,0.45246022937476876
North America,CRI,Costa Rica,0.040000000000000036,0.19999999999999996,0.7679439252336449,0.20999999999999996,0,0,0.21827598964113948
Africa,BEN,Benin,0.30000000000000004,0.31999999999999995,0.07943925233644855,0.48,0,0.3357373433278662,0.33407325194228626
Africa,BFA,Burkina Faso,0.12,0.52,0,0.5800000000000001,1e-4,0.12406845065888218,0.3547909729929707
Europe,BEL,Belgium,0.040000000000000036,0.5900000000000001,0.36448598130841126,0.07999999999999996,0,0.004894304769445616,0.1531631520532741
Asia,BHR,Bahrain,0.010000000000000009,0.48796788247953005,0,0.15000000000000002,3e-4,0.07499488817057412,0.4783573806881242
South America,BOL,Bolivia (Plurinational State of),0.17000000000000004,0.39,0.6385981308411215,0.31000000000000005,0,0,0.34554199038105804
Africa,CAF,Central African Republic,0.51,0.2091190794422093,0.31000000000000005,0.63,0.11869999999999999,0.3888601272954289,0.777654458009619
North America,CAN,Canada,0.09999999999999998,0.32999999999999996,0.5918691588785047,0.06999999999999995,0,1.8924645108523049e-4,0.09618941916389197
Europe,CHE,Switzerland,0.050000000000000044,0.69,0.5342990654205608,0.06000000000000005,5.484020813282062e-4,0.002013190695165297,0.09692933777284499
South America,COL,Colombia,0.06999999999999995,0.2899999999999999,0.7974766355140187,0.25,0.0039000000000000003,0,0.6163522012578616
Africa,COM,Comoros,0.09999999999999998,0.17999999999999994,0,0.5,7.000000000000001e-4,0.20786003593507324,0.4122631619166495
Europe,BIH,Bosnia and Herzegovina,0.31000000000000005,0.3799999999999999,0.514018691588785,0.22999999999999998,0.0053,7.036922635180697e-4,0.341842397336293
Africa,BWA,Botswana,0.030000000000000027,0.29999999999999993,0.4096261682242991,0.28,1e-4,0.022112468948355293,0.1890492045874954
South America,CHL,Chile,0.06999999999999995,0.37,0.8301869158878504,0.16000000000000003,0,1.087623282099026e-6,0.17906030336662965
Africa,CMR,Cameroon,0.22999999999999998,0.36,0.17757009345794394,0.43999999999999995,4e-4,0.03769267246442384,0.4731779504254532
Africa,COD,Democratic Republic of the Congo,0.19999999999999996,0.3136383103926807,0.5327102803738317,0.54,0.0076,0.1278218386054059,0.7214206437291897
Europe,CYP,Cyprus,0.09999999999999998,0.48,0.30214953271028033,0.13,0,3.8501864186305516e-4,0.30669626341102474
Asia,AFG,Afghanistan,0.36,0.1100000000000001,0.7352336448598131,0.5,0.0723,0.24093683519026882,0.9086200517943027
Africa,AGO,Angola,0.5800000000000001,0.19010518829160855,0.30682242990654207,0.42000000000000004,3e-4,0.5998220648310485,0.37180910099889014
Europe,ALB,Albania,0.040000000000000036,0.53,0.7492523364485981,0.21999999999999997,0.0042,5.50337380742107e-4,0.2948575656677765
South America,ARG,Argentina,0.10999999999999999,0.17000000000000004,0.5654205607476636,0.18000000000000005,0,6.525739692594155e-6,0.28449870514243425
Asia,ARE,United Arab Emirates,0.010000000000000009,0.20999999999999996,0,0.14,0,0.05038523616651947,0.30817610062893075
Asia,ARM,Armenia,0.040000000000000036,0.79,0,0.24,0.0037,4.4592554566060055e-5,0.41028486866444697
Asia,BGD,Bangladesh,0.030000000000000027,0.040000000000000036,0.9345794392523364,0.39,1e-4,0.04981967205982798,0.341842397336293
Africa,BDI,Burundi,0.09999999999999998,0.19999999999999996,0.40654205607476634,0.5800000000000001,0.0406,0.33624200053076014,0.5660377358490566
Europe,BGR,Bulgaria,0.06000000000000005,0.75,0.5404672897196261,0.18999999999999995,1e-4,0.004383121826859074,0.19237883832778394
Africa,DJI,Djibouti,0.18999999999999995,0.1622693722218458,0,0.52,0.0018,0.04973918793695265,0.40140584535701074
