Continent,ISO_code,Cname,Year,MCV1_percent_coverage,gain_index_value,urban_percent,measles_incidence_rate_per_100_000,HDI_index_value,percent_refugee_origin_population,percent_dis_conflict_population,percent_dis_disaster_population,climate_risk_index,overall_vaccine_confidence_percent,peace_index_score
North America,ATG,Antigua and Barbuda,2017,99,47.41,24.713,0,0.78,0.1,NA,1.47,20.67,NA,NA
Australia,AUS,Australia,2017,95,70.97,85.904,4.13,0.94,NA,NA,0.13,30.33,0.76,1.425
Asia,AZE,Azerbaijan,2017,98,50.97,55.343,0.26,0.76,0.11,NA,NA,95.33,0.51,2.426
South America,BRA,Brazil,2017,91,50.35,86.309,0,0.76,0,NA,0.03,74.67,0.7100000000000001,2.199
Europe,BLR,Belarus,2017,97,57.36,78.134,0.16,0.81,0.04,NA,NA,116,0.21,2.141
Asia,BTN,Bhutan,2017,97,46.53,40.167,1836.88,0.61,1.06,NA,NA,116,NA,1.474
Asia,CHN,China,2017,99,53.95,57.96,2301.59,0.75,0.01,NA,0.32,42.33,0.65,2.242
Africa,CIV,Côte d'Ivoire,2017,70,37.85,50.326,985.84,NA,0.16,0.02,NA,77.67,0.6000000000000001,2.307
Africa,COG,Congo,2017,70,34.68,66.459,4750.03,0.61,0.26,1.68,NA,116,0.5800000000000001,2.334
North America,CRI,Costa Rica,2017,96,53.52,78.56,0,0.79,0,NA,0.22,33.83,0.8,1.701
Europe,AND,Andorra,2017,99,NA,88.15,0.6,0.86,NA,NA,NA,NA,NA,NA
Africa,BEN,Benin,2017,70,35.66,46.768,3086.89,0.52,0,NA,0.03,107.5,0.68,2.014
Africa,BFA,Burkina Faso,2017,88,35.16,28.743,1140.73,0.42,0.01,0.03,0.04,116,0.48000000000000004,2.07
Europe,BEL,Belgium,2017,96,61.72,97.961,45,0.92,0,NA,NA,77,0.41,1.525
Asia,BHR,Bahrain,2017,99,48.69,89.186,689.53,0.85,0.03,NA,NA,116,NA,2.404
South America,BOL,Bolivia (Plurinational State of),2017,83,40.34,69.08,0,0.69,0,NA,0.03,47.67,0.61,2.045
Africa,CAF,Central African Republic,2017,49,27.51,40.98,3575.32,0.37,11.87,11.73,0.06,82.83,NA,3.213
North America,CAN,Canada,2017,90,68.83,81.35,1.74,0.93,0,NA,0.23,52.67,0.67,1.371
Asia,BRN,Brunei Darussalam,2017,97,55.61,77.312,2.75,0.85,NA,NA,0.02,116,NA,NA
Europe,CHE,Switzerland,2017,95,70.9,73.761,18.51,0.94,NA,NA,0,58.83,0.31000000000000005,1.373
South America,COL,Colombia,2017,93,50.66,80.446,0,0.75,0.39,0.28,0.05,30.67,0.7100000000000001,2.777
Africa,COM,Comoros,2017,90,39.23,28.784,1911.14,0.5,0.07,NA,0.01,116,0.8200000000000001,NA
Europe,BIH,Bosnia and Herzegovina,2017,69,49.3,47.876,6.47,0.77,0.53,NA,NA,61,0.6200000000000001,2.035
North America,BHS,Bahamas,2017,90,52.74,82.925,0,0.81,0.1,NA,0.42,69.83,NA,NA
North America,BLZ,Belize,2017,90,42.33,45.601,0,0.71,0.02,NA,NA,116,NA,NA
Africa,BWA,Botswana,2017,97,47.82,68.7,203.31,0.72,0.01,NA,0.09,72.17,0.7000000000000001,1.622
South America,CHL,Chile,2017,93,61.29,87.49,0.01,0.84,0,NA,0.04,27.17,0.63,1.595
Africa,CMR,Cameroon,2017,77,39.15,55.777,346.56,0.56,0.04,0.48,NA,97,0.64,2.39
Africa,COD,Democratic Republic of the Congo,2017,80,29.61,43.88,1175.24,0.46,0.76,2.66,0.03,59,NA,3.061
Australia,COK,Cook Islands,2017,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North America,CUB,Cuba,2017,99,45.47,76.977,0,0.78,0.05,NA,15.33,NA,NA,2.056
Europe,CYP,Cyprus,2017,90,58.04,66.836,3.54,0.87,NA,NA,NA,83.67,0.52,1.94
Asia,AFG,Afghanistan,2017,64,31.43,25.25,2215.26,0.5,7.23,1.31,0.07,37.33,0.8899999999999999,3.567
Africa,AGO,Angola,2017,42,35.42,64.839,5514.98,0.58,0.03,NA,0.05,83.17,NA,2.116
Europe,ALB,Albania,2017,96,50.62,59.383,5.06,0.78,0.42,NA,0.12,35.83,0.47,1.908
South America,ARG,Argentina,2017,89,51.94,91.749,0.06,0.82,0,NA,0.06,55.5,0.83,1.88
Asia,ARE,United Arab Emirates,2017,99,58.89,86.248,463.26,0.86,0,NA,0.01,116,0.79,1.944
Asia,ARM,Armenia,2017,96,53.75,63.103,0.41,0.76,0.37,NA,NA,116,0.20999999999999996,2.22
