varnames,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
Continent*,1,150,2.7333333333333334,1.6411923422471113,2,2.575,1.4826,1,6,5,0.527701135382365,-1.0581282252219437,0.13400279360895329
ISO_code*,2,150,75.5,43.445367992456916,75.5,75.5,55.5975,1,150,149,0,-1.2240252538631344,3.547299442298794
Cname*,3,150,75.5,43.445367992456916,75.5,75.5,55.5975,1,150,149,0,-1.2240252538631344,3.547299442298794
MCV1_percent_coverage,4,150,0.12206666666666667,0.12447633486665026,0.07999999999999996,0.09991666666666667,0.08154299999999999,0.01,0.63,0.62,1.679185641627163,2.7732584321099516,0.010163450182503463
overall_vaccine_confidence_percent,5,150,0.33308377084613344,0.18873395637116788,0.30000000000000004,0.31342937252006087,0.177912,0.04000000000000003,0.8600000000000001,0.8200000000000001,0.8103839277489036,0.06961846676156469,0.01541006300820212
climate_risk_index,6,150,0.3791946320524096,0.3088819775167293,0.3613551401869159,0.3598621495327103,0.42725206542056077,0,1,1,0.22193444815738725,-1.1467278360746997,0.025220107855260424
HDI_index_value,7,150,0.2934867245011664,0.1575574074343632,0.26,0.2870250722931247,0.177912,0.05000000000000004,0.65,0.6,0.33031627737878216,-0.9824062259960322,0.012864508446999424
percent_refugee_origin_population,8,150,0.00286724931505183,0.01205898401431541,2e-4,6.204872920438216e-4,2.9652e-4,-0.0012091598096807365,0.1187,0.11990915980968074,7.442299078695463,61.8151731709529,9.846119217150637e-4
measles_incidence_rate_per_100_000,9,150,0.09778465745967216,0.1598178495534054,0.020477771155360452,0.060813777390103546,0.030360343514937407,0,0.8978525965918237,0.8978525965918237,2.372135237748121,6.281610275489879,0.01304907277315772
peace_index_score,10,150,0.35666953496133585,0.1761849301269961,0.33703292637809834,0.3411199375695943,0.13986792452830188,0,0.9086200517943028,0.9086200517943028,0.8481442233055506,0.8981042997247055,0.014385439305968263
