varnames,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
MCV1_percent_coverage,1,191,87.52879581151832,13.201593130144449,92,90.00653594771242,8.8956,30,99,69,-1.8116483264852423,3.4095386696187955,0.9552337538375415
gain_index_value,2,179,48.33793296089385,11.494738741574492,47.82,47.90393103448276,12.735534000000005,20.27,76.05,55.78,0.2507686309001931,-0.6023205376520853,0.8591571117468001
urban_percent,3,188,58.34570212765957,23.01518534435171,58.265,58.71316447368421,28.20127589999999,12.706,100,87.294,-0.13507927386771984,-1.032399420188734,1.678554907288165
measles_incidence_rate_per_100_000,4,183,1053.2992349726776,1846.6555601691962,203.45,598.9948979591837,301.63496999999995,0,9194.36,9194.36,2.4302983744294,5.887437383041879,136.5087070203602
HDI_index_value,5,182,0.7061538461538461,0.151688611187956,0.735,0.7127397260273972,0.17049899999999998,0.35,0.95,0.6,-0.3646579851479579,-0.8500321703318865,0.011243907938834386
percent_refugee_origin_population,6,167,0.6705988023952095,3.5289931156577796,0.02,0.07725925925925926,0.029651999999999998,0,36.96,36.96,8.163601235229809,73.2400838678044,0.2730816860349018
percent_dis_conflict_population,7,39,1.6602564102564101,3.597272714870975,0.13,0.8518181818181818,0.192738,0,17.06,17.06,2.7660968250689693,7.608525356831077,0.5760246385657029
percent_dis_disaster_population,8,122,0.7939344262295082,4.668642635903956,0.05,0.11948979591836735,0.07413,0,48.98,48.98,9.274755133666666,90.8074220988934,0.42267904404747486
climate_risk_index,9,176,79.49829545454546,33.50777406501673,81.92,82.46267605633803,50.527007999999995,9,116,107,-0.402564886573354,-1.068053382584897,2.525743503037778
overall_vaccine_confidence_percent,10,134,0.6667164179104478,0.19239595809380078,0.7000000000000001,0.6865740740740741,0.177912,0.13999999999999996,0.96,0.8200000000000001,-0.8121688666964266,0.04712407904507554,0.0166204793406709
peace_index_score,11,157,2.1008853503184715,0.5026823048324891,2.026,2.052251968503937,0.3854760000000003,1.111,3.814,2.7030000000000003,0.951969237072086,1.0629873381958568,0.040118415454076475
